as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,00027.HK,银河娱乐,128836999999.99998,HSCI.HK,2005-09-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,460923471.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02600.HK,中国铝业,127976000000.0,HSCI.HK,2002-03-01,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,628783185.3333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00006.HK,电能实业,121685999999.99998,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,231264338.26666668,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00003.HK,香港中华煤气,121289000000.00002,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,171512286.93333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00012.HK,恒基地产,120066000000.00002,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,279290292.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01972.HK,太古地产,118258999999.99998,HSCI.HK,2012-09-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,82410818.03333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01171.HK,兖矿能源,110907000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,625350987.8666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09987.HK,百胜中国,110297000000.0,HSCI.HK,2020-12-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,304006742.93333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00763.HK,中兴通讯,109256000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,615001565.3333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01929.HK,周大福,107533000000.0,HSCI.HK,2012-01-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,226816689.53333333,True,True,True,True,2026-07-01,True,True,True
