windcode,name,market_cap_hkd
00604.HK,深圳控股,5428000000.0
00598.HK,中国外运,27404000000.000004
00590.HK,六福集团,12999000000.0
00586.HK,海螺创业,19497000000.0
00576.HK,浙江沪杭甬,35806000000.0
00570.HK,中国中药,6798000000.0
00552.HK,中国通信服务,27150000000.0
00551.HK,裕元集团,19656000000.0
00546.HK,阜丰集团,11860000000.0
00522.HK,ASMPT,100155000000.0
00512.HK,远大医药,16683000000.000002
00506.HK,中国食品,8643000000.0
00486.HK,俄铝,48618000000.0
00467.HK,联合能源集团,8724000000.0
00460.HK,四环医药,7744000000.0
00440.HK,大新金融,12054000000.0
00425.HK,敏实集团,31269000000.0
00392.HK,北京控股,33815000000.0
00390.HK,中国中铁,81199000000.0
00388.HK,香港交易所,460225000000.0
00386.HK,中国石油化工股份,483702000000.00006
00384.HK,中国燃气,28221000000.0
00371.HK,北控水务集团,22705000000.0
00363.HK,上海实业控股,13351000000.0
00358.HK,江西铜业股份,107068000000.0
00354.HK,中国软件国际,7923000000.0
00345.HK,VITASOY INT'L,6597000000.0
00336.HK,华宝国际,9718000000.0
00325.HK,布鲁可,10359000000.0
00322.HK,康师傅控股,55132000000.00001
00317.HK,中船防务,16891000000.0
00316.HK,东方海外国际,80566000000.0
00308.HK,香港中旅,5703000000.0
00303.HK,VTECH HOLDINGS,13046000000.0
00300.HK,美的集团,628870000000.0
00297.HK,中化化肥,8991000000.0
00293.HK,国泰航空,78933000000.0
00291.HK,华润啤酒,69036000000.0
00290.HK,国富量子,21226000000.0
00288.HK,万洲国际,106363000000.00002
00285.HK,比亚迪电子,47137000000.0
00270.HK,粤海投资,50733000000.0
00268.HK,金蝶国际,21013000000.0
00267.HK,中信股份,308648000000.0
00257.HK,光大环境,28012000000.0
00241.HK,阿里健康,49820000000.0
00220.HK,统一企业中国,29156000000.0
00200.HK,新濠国际发展,7120999999.999999
00189.HK,东岳集团,33060000000.000004
00179.HK,德昌电机控股,18137000000.0
00177.HK,江苏宁沪高速公路,46196000000.0
00175.HK,吉利汽车,182897000000.0
00173.HK,嘉华国际,6085000000.0
00168.HK,青岛啤酒股份,58715000000.0
00165.HK,中国光大控股,8780000000.0
00152.HK,深圳国际,13040000000.0
00151.HK,中国旺旺,40008000000.0
00148.HK,建滔集团,132258000000.0
00144.HK,招商局港口,51803000000.0
00142.HK,第一太平,20458000000.0
00136.HK,中国儒意,25033000000.0
00135.HK,昆仑能源,55541000000.0
00123.HK,越秀地产,13444999999.999998
00119.HK,保利置业集团,5999000000.0
00101.HK,恒隆地产,35849000000.0
00100.HK,MINIMAX-W,130785999999.99998
00087.HK,太古股份公司B,35498000000.0
00083.HK,信和置业,98546000000.0
00081.HK,中国海外宏洋集团,7937000000.0
00066.HK,港铁公司,189857000000.0
00041.HK,鹰君,11013000000.0
00027.HK,银河娱乐,128836999999.99998
00023.HK,东亚银行,33131000000.0
00020.HK,商汤-W,56570000000.00001
00019.HK,太古股份公司A,63642999999.99999
00017.HK,新世界发展,15930000000.000002
00016.HK,新鸿基地产,325421000000.0
00014.HK,希慎兴业,16966000000.0
00013.HK,和黄医药,14638000000.0
00012.HK,恒基地产,120066000000.00002
00010.HK,恒隆集团,17129000000.0
00008.HK,电讯盈科,41296000000.0
00006.HK,电能实业,121685999999.99998
00005.HK,汇丰控股,2541449000000.0
00004.HK,九龙仓集团,55314000000.0
00003.HK,香港中华煤气,121289000000.00002
00002.HK,中电控股,184936000000.0
00001.HK,长和,253740000000.0
