market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
a,0.003,2023-10-31,2023-11-01,601577.SH,buy,8487.383620761466,8.8720126058057,7.3,75300.17447370455,225.90052342111366,679734.6749741312,807219.48,complete_account
a,0.003,2023-10-31,2023-11-01,601658.SH,buy,13571.922607552568,5.5482319381781,4.61,75300.17447370455,225.90052342111366,604208.5999770055,5624970.22,complete_account
a,0.003,2023-10-31,2023-11-01,601665.SH,buy,16654.07441046807,4.5214265661245,4.04,75300.17447370455,225.90052342111366,528682.5249798798,449347.28,complete_account
a,0.003,2023-10-31,2023-11-01,601818.SH,buy,13906.369205601584,5.4147975909753,2.96,75300.17447370455,225.90052342111366,453156.4499827542,2769139.1,complete_account
a,0.003,2023-10-31,2023-11-01,601939.SH,buy,5416.532672139253,13.901914570002,6.28,75300.17447370455,225.90052342111366,377630.3749856285,5363909.93,complete_account
a,0.003,2023-10-31,2023-11-01,601997.SH,buy,7942.276454856531,9.4809309272608,5.21,75300.17447370455,225.90052342111366,302104.29998850287,1178107.93,complete_account
a,0.003,2023-10-31,2023-11-01,601998.SH,buy,7583.83761343887,9.9290330716298,5.42,75300.17447370455,225.90052342111366,226578.2249913772,2205670.81,complete_account
a,0.003,2023-10-31,2023-11-01,688200.SH,buy,280.91121724623423,268.05684447873,120.58,75300.17447370455,225.90052342111366,151052.14999425155,906437.81,complete_account
a,0.003,2023-10-31,2023-11-01,688313.SH,buy,5693.160134810154,13.226428326386,13.13,75300.17447370455,225.90052342111366,75526.07499712589,1967334.57,complete_account
a,0.003,2023-10-31,2023-11-01,688629.SH,buy,3134.8948573565594,24.02,24.02,75300.17447370455,225.90052342111366,2.3283064365386963e-10,1033972.55,complete_account
a,0.003,2023-11-30,2023-12-01,000737.SZ,sell,5021.869258139208,14.994451389124,5.56,75300.17447370455,225.90052342111366,75074.27395028368,335029.5396,complete_account
a,0.003,2023-11-30,2023-12-01,001696.SZ,sell,559.034612152909,144.25730058267,6.79,80644.82408145853,241.9344722443756,155477.16355949783,700815.5275,complete_account
a,0.003,2023-11-30,2023-12-01,300002.SZ,sell,562.4476294767795,146.12073296075,9.43,82185.25987118336,246.55577961355007,237415.86765106762,16221388.942300001,complete_account
a,0.003,2023-11-30,2023-12-01,300548.SZ,sell,1119.8624320345152,77.348980407042,27.7,86620.21731402013,259.86065194206043,323776.2243131457,3874714.8077,complete_account
a,0.003,2023-11-30,2023-12-01,300570.SZ,sell,1188.6936330645972,72.659207771351,36.36,86369.53766132264,259.10861298396793,409886.65336148435,7709505.9626,complete_account
a,0.003,2023-11-30,2023-12-01,300620.SZ,sell,842.9022142873062,120.11935367131,51.7,101248.86918830725,303.74660756492176,510831.77594222664,14961955.5589,complete_account
a,0.003,2023-11-30,2023-12-01,300757.SZ,sell,916.9926958853458,99.905482908384,75.93,91612.59810588638,274.83779431765913,602169.5362537954,3592525.7239,complete_account
a,0.003,2023-11-30,2023-12-01,600000.SH,sell,917.90751286282,81.915014750248,6.85,75190.40745552136,225.5712223665641,677134.3724869501,1987237.9100000001,complete_account
a,0.003,2023-11-30,2023-12-01,600016.SH,sell,815.4164241306737,95.811725357448,3.87,78126.45448076044,234.37936344228132,755026.4476042683,2473014.96,complete_account
a,0.003,2023-11-30,2023-12-01,600131.SH,sell,1358.935366640295,63.773567879649,15.71,86664.15684849054,259.99247054547163,841430.6119822133,1707254.98,complete_account
a,0.003,2023-11-30,2023-12-01,600208.SH,sell,5821.359205138435,12.771417307935,2.34,74347.00770821174,223.04102312463522,915554.5786673004,812070.4500000001,complete_account
a,0.003,2023-11-30,2023-12-01,601186.SH,sell,6945.102157129942,10.583076533572,7.76,73500.54766238216,220.50164298714648,988834.6246866954,4919389.24,complete_account
a,0.003,2023-11-30,2023-12-01,601398.SH,sell,7021.330302461497,10.814421086422,4.81,75931.62247767337,227.79486743302013,1064538.4522969357,12023125.73,complete_account
a,0.003,2023-11-30,2023-12-01,601577.SH,sell,8487.383620761466,8.3129542772207,6.84,70555.23197262193,211.66569591786578,1134882.0185736397,852167.04,complete_account
a,0.003,2023-11-30,2023-12-01,601665.SH,sell,16654.07441046807,4.3199768676338,3.86,71945.21620507407,215.83564861522223,1206611.3991300985,613283.72,complete_account
a,0.003,2023-11-30,2023-12-01,601818.SH,sell,13906.369205601583,5.3233314154521,2.91,74028.21206705457,222.0846362011637,1280417.526560952,2955134.5100000002,complete_account
a,0.003,2023-11-30,2023-12-01,601939.SH,sell,5416.532672139252,14.123282636403,6.38,76499.22183793384,229.49766551380154,1356687.250733372,4646688.66,complete_account
a,0.003,2023-11-30,2023-12-01,601997.SH,sell,7942.276454856531,9.3353504139823,5.13,74143.93379080678,222.43180137242035,1430608.7527228063,1171679.37,complete_account
a,0.003,2023-11-30,2023-12-01,601998.SH,sell,7583.83761343887,10.002310068468,5.46,75855.89531852595,227.56768595557784,1506237.0803553767,1942210.35,complete_account
a,0.003,2023-11-30,2023-12-01,688200.SH,sell,280.91121724623423,276.66009533404,124.45,77716.92414374439,233.15077243123315,1583720.85372669,524273.79000000004,complete_account
a,0.003,2023-11-30,2023-12-01,688313.SH,sell,50.38329528617123,13.760320711229,13.66,693.2903016262684,2.0798709048788053,1584412.0641574112,2572817.57,complete_account
a,0.003,2023-11-30,2023-12-01,688629.SH,sell,143.8925840998113,25.96,25.96,3735.4514832311015,11.206354449693304,1588136.3092861925,693114.34,complete_account
a,0.003,2023-11-30,2023-12-01,000415.SZ,buy,181.10297551511295,35.666334370423,2.25,6459.279280200548,19.377837840601643,1581657.6521681515,819220.2111,complete_account
a,0.003,2023-11-30,2023-12-01,000429.SZ,buy,2815.5413223278442,27.577794152049,8.1,77646.41901374514,232.9392570412354,1503778.293897365,536825.6348,complete_account
a,0.003,2023-11-30,2023-12-01,000528.SZ,buy,40.17315980894134,61.36440781273,6.32,2465.202161641851,7.395606484925553,1501305.6961292382,956611.1241,complete_account
a,0.003,2023-11-30,2023-12-01,000951.SZ,buy,1336.7285397714081,58.086901493869,15.47,77646.41901374514,232.9392570412354,1423426.3378584518,1301604.9828,complete_account
a,0.003,2023-11-30,2023-12-01,000967.SZ,buy,96.29254716621921,22.769890080882,4.91,2192.570714582957,6.577712143748871,1421227.189431725,361531.8469,complete_account
a,0.003,2023-11-30,2023-12-01,002423.SZ,buy,780.1127809805216,7.3095087184683,6.86,5702.2411739656745,17.106723521897024,1415507.8415342376,742677.39,complete_account
a,0.003,2023-11-30,2023-12-01,002851.SZ,buy,52.83590613479552,58.82431883505,25.44,3108.036188411986,9.324108565235958,1412390.4812372604,788750.3077,complete_account
a,0.003,2023-11-30,2023-12-01,300100.SZ,buy,2120.8096201265466,36.61168747863,10.18,77646.41901374514,232.9392570412354,1334511.122966474,1337192.19,complete_account
a,0.003,2023-11-30,2023-12-01,300487.SZ,buy,265.4187537138696,292.54307740986,50.21,77646.41901374512,232.93925704123538,1256631.7646956877,1157866.127,complete_account
a,0.003,2023-11-30,2023-12-01,300972.SZ,buy,2315.1652023416227,33.538176426983,33.0,77646.41901374514,232.9392570412354,1178752.4064249012,276379.6084,complete_account
a,0.003,2023-11-30,2023-12-01,301377.SZ,buy,3750.56499078353,20.702592597262,20.49,77646.41901374514,232.9392570412354,1100873.0481541147,422607.3969,complete_account
a,0.003,2023-11-30,2023-12-01,600105.SH,buy,65.32283238368173,51.211065225379,5.95,3345.251829907225,10.035755489721675,1097517.7605687177,2073650.44,complete_account
a,0.003,2023-11-30,2023-12-01,600171.SH,buy,2251.430120773306,34.487598925378,15.79,77646.41901374514,232.9392570412354,1019638.4022979314,747859.47,complete_account
a,0.003,2023-11-30,2023-12-01,600595.SH,buy,3178.131107469589,24.431471323273,3.36,77646.41901374514,232.9392570412354,941759.044027145,563960.85,complete_account
a,0.003,2023-11-30,2023-12-01,600820.SH,buy,853.2103867961428,91.005009099001,5.39,77646.41901374514,232.9392570412354,863879.6857563587,872962.77,complete_account
a,0.003,2023-11-30,2023-12-01,600967.SH,buy,48.64844164926987,35.673635258967,8.7,1735.4667633131926,5.206400289939578,862139.0125927555,473152.53,complete_account
a,0.003,2023-11-30,2023-12-01,601138.SH,buy,4535.9321672500655,17.118073231862,15.15,77646.41901374514,232.9392570412354,784259.6543219691,11652302.11,complete_account
a,0.003,2023-11-30,2023-12-01,601658.SH,buy,1024.4680822968978,5.3195629428953,4.42,5449.722446765591,16.349167340296773,778793.5827078633,3974810.2600000002,complete_account
a,0.003,2023-11-30,2023-12-01,603129.SH,buy,805.2794170377778,96.421710739072,91.06,77646.41901374514,232.9392570412354,700914.224437077,3344733.66,complete_account
a,0.003,2023-11-30,2023-12-01,603256.SH,buy,8881.065235652302,8.742917313797,8.41,77646.41901374514,232.9392570412354,623034.8661662906,289232.86,complete_account
a,0.003,2023-11-30,2023-12-01,603308.SH,buy,3581.2314583184943,21.681485801033,14.77,77646.41901374514,232.9392570412354,545155.5078955042,590624.48,complete_account
a,0.003,2023-11-30,2023-12-01,603444.SH,buy,229.71278355956318,338.01522845424,268.63,77646.41901374514,232.9392570412354,467276.1496247179,4608770.28,complete_account
a,0.003,2023-11-30,2023-12-01,603699.SH,buy,4418.103488235259,17.574603949524,13.66,77646.41901374514,232.9392570412354,389396.79135393153,392892.42,complete_account
a,0.003,2023-11-30,2023-12-01,603766.SH,buy,4373.155797243265,17.755237319167,5.62,77646.41901374514,232.9392570412354,311517.4330831452,870415.09,complete_account
a,0.003,2023-11-30,2023-12-01,688018.SH,buy,709.7522960036229,109.39932065165,106.73,77646.41901374514,232.9392570412354,233638.07481235883,1545300.46,complete_account
a,0.003,2023-11-30,2023-12-01,688582.SH,buy,1941.539256951013,39.992196261682,39.93,77646.41901374514,232.9392570412354,155758.71654157247,771739.4500000001,complete_account
a,0.003,2023-11-30,2023-12-01,688676.SH,buy,2389.342192985853,32.496985673163,31.5,77646.41901374514,232.9392570412354,77879.3582707861,607891.22,complete_account
a,0.003,2023-11-30,2023-12-01,688702.SH,buy,1672.3329531282604,46.43,46.43,77646.41901374514,232.9392570412354,-2.6193447411060333e-10,902367.0700000001,complete_account
a,0.003,2023-12-29,2024-01-02,000415.SZ,sell,2177.0226849590404,33.605612829021,2.12,73160.18147072927,219.4805444121878,72940.70092631681,765665.1692,complete_account
a,0.003,2023-12-29,2024-01-02,000429.SZ,sell,2815.5413223278442,29.246080464951,8.59,82343.54806519467,247.03064419558402,155037.2183473159,865842.3934000001,complete_account
a,0.003,2023-12-29,2024-01-02,000528.SZ,sell,83.57291533642297,65.345326673999,6.73,5461.09945375702,16.38329836127106,160481.93450271167,761348.3262,complete_account
a,0.003,2023-12-29,2024-01-02,000951.SZ,sell,1336.7285397714081,50.314446025717,13.4,67256.755965364,201.770267896092,227536.92020017956,2007540.0993000001,complete_account
a,0.003,2023-12-29,2024-01-02,000967.SZ,sell,3410.048038788667,22.630766516233,4.88,77172.00097496457,231.5160029248937,304477.40517221927,686738.0,complete_account
a,0.003,2023-12-29,2024-01-02,300100.SZ,sell,2120.8096201265466,38.985333228718,10.84,82680.46975530425,248.04140926591276,386909.8335182576,4192770.5522000003,complete_account
a,0.003,2023-12-29,2024-01-02,300487.SZ,sell,265.4187537138696,301.80703863435,51.8,80105.24805640287,240.3157441692086,466774.76583049126,1501518.2687000001,complete_account
a,0.003,2023-12-29,2024-01-02,300972.SZ,sell,2315.1652023416227,37.237538917717,36.64,86211.05432314034,258.63316296942105,552727.1869906622,300706.2195,complete_account
a,0.003,2023-12-29,2024-01-02,301377.SZ,sell,3750.56499078353,23.935793978972,23.69,89772.75092413959,269.31825277241876,642230.6196620294,1286049.4409,complete_account
a,0.003,2023-12-29,2024-01-02,600171.SH,sell,2251.430120773306,30.730875039903,14.07,69188.41770255819,207.56525310767458,711211.47211148,652875.43,complete_account
a,0.003,2023-12-29,2024-01-02,600595.SH,sell,152.4270894080605,25.522162007347,3.51,3890.268870180886,11.670806610542659,715090.0701750503,1086456.04,complete_account
a,0.003,2023-12-29,2024-01-02,600820.SH,sell,63.280024198800106,97.758627585012,5.79,6186.168319221047,18.55850495766314,721257.6799893137,1386731.2,complete_account
a,0.003,2023-12-29,2024-01-02,601138.SH,sell,4535.9321672500655,16.044662699171,14.2,72777.50164984699,218.33250494954098,793816.8491342112,18342380.96,complete_account
a,0.003,2023-12-29,2024-01-02,603129.SH,sell,805.2794170377778,109.11769483485,103.05,87870.23368511414,263.6107010553424,881423.47211827,2051901.59,complete_account
