market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
a,2025-07-31,2025-08-01,2025-09-01,000785.SZ,2,15.793652663112,16.159730704972,0.02317880794700633,True,2025-08-01,2025-09-01,0.023178815841674805,-7.894668474506261e-09
a,2025-07-31,2025-08-01,2025-09-01,601398.SH,3,18.800412936045,18.208273945933,-0.03149606299214436,True,2025-08-01,2025-09-01,-0.031420767307281494,-7.529568486286387e-05
a,2025-07-31,2025-08-01,2025-09-01,688772.SH,4,14.259909609569,23.135546564197,0.6224188790560126,True,2025-08-01,2025-09-01,0.6223725080490112,4.637100700133345e-05
a,2025-07-31,2025-08-01,2025-09-01,301526.SZ,5,4.8342153846154,7.6903384615385,0.590814196242174,True,2025-08-01,2025-09-01,0.5908142328262329,-3.658405889339633e-08
a,2025-07-31,2025-08-01,2025-09-01,300724.SZ,6,69.901536654117,114.18271858352,0.6334793775494916,True,2025-08-01,2025-09-01,0.6335278749465942,-4.849739710266476e-05
a,2025-07-31,2025-08-01,2025-09-01,600105.SH,8,79.779694102128,98.674884810526,0.23684210526314842,True,2025-08-01,2025-09-01,0.23736262321472168,-0.0005205179515732627
a,2025-07-31,2025-08-01,2025-09-01,601939.SH,9,23.012313400582,22.08400351818,-0.04033970276011101,True,2025-08-01,2025-09-01,-0.03982299566268921,-0.000516707097421798
a,2025-07-31,2025-08-01,2025-09-01,603077.SH,10,26.896094262798,27.759070549305,0.03208556149733033,True,2025-08-01,2025-09-01,0.032085537910461426,2.358686890246986e-08
a,2025-07-31,2025-08-01,2025-09-01,603737.SH,11,286.14831857934,351.39863975167,0.2280297207276376,True,2025-08-01,2025-09-01,0.22803735733032227,-7.63660268465749e-06
a,2025-07-31,2025-08-01,2025-09-01,603786.SH,12,54.406479179757,61.842276740184,0.13667117726657874,True,2025-08-01,2025-09-01,0.13667511940002441,-3.942133445677953e-06
a,2025-07-31,2025-08-01,2025-09-01,000537.SZ,13,35.191196544757,36.163105310089,0.027617951668563068,True,2025-08-01,2025-09-01,0.028202056884765625,-0.0005841052162025573
a,2025-07-31,2025-08-01,2025-09-01,688248.SH,14,33.996013295047,37.129239377779,0.09216451516062008,True,2025-08-01,2025-09-01,0.09222853183746338,-6.40166768433037e-05
a,2025-07-31,2025-08-01,2025-09-01,601988.SH,15,14.100369018077,14.024150807168,-0.005405405405439101,True,2025-08-01,2025-09-01,-0.005628466606140137,0.00022306120070103574
a,2025-07-31,2025-08-01,2025-09-01,600595.SH,16,34.393112904488,38.319599367157,0.11416490486258435,True,2025-08-01,2025-09-01,0.11471867561340332,-0.0005537707508189715
a,2025-07-31,2025-08-01,2025-09-01,000591.SZ,17,44.698873062774,45.583026595884,0.01978021978022393,True,2025-08-01,2025-09-01,0.020089268684387207,-0.00030904890416327824
a,2025-07-31,2025-08-01,2025-09-01,601728.SH,18,8.8128153826569,8.9665960537636,0.017449664429522782,True,2025-08-01,2025-09-01,0.016736388206481934,0.0007132762230408485
a,2025-07-31,2025-08-01,2025-09-01,603688.SH,19,96.202771313098,112.18312054788,0.16611111111106092,True,2025-08-01,2025-09-01,0.16601788997650146,9.322113455945136e-05
a,2025-07-31,2025-08-01,2025-09-01,601998.SH,20,16.489329717693,15.663856557222,-0.050061050061074974,True,2025-08-01,2025-09-01,-0.05000007152557373,-6.097853550124377e-05
a,2025-07-31,2025-08-01,2025-09-01,688411.SH,21,87.731699295223,127.04815974941,0.44814429413802315,True,2025-08-01,2025-09-01,0.4482157230377197,-7.14288996965795e-05
a,2025-07-31,2025-08-01,2025-09-01,603179.SH,22,106.34236662511,131.42557840892,0.23587223587223827,True,2025-08-01,2025-09-01,0.23584258556365967,2.9650308578599294e-05
a,2025-07-31,2025-08-01,2025-09-01,001309.SZ,23,225.22712856285,261.1896997561,0.15967246673490587,True,2025-08-01,2025-09-01,0.15960848331451416,6.398342039171112e-05
a,2025-07-31,2025-08-01,2025-09-01,300972.SZ,24,147.71556809852,209.03820801775,0.4151399930867843,True,2025-08-01,2025-09-01,0.4151676893234253,-2.7696236641006067e-05
