windcode,成分券名称,index
601808.SH,中海油服,CSI500
601865.SH,福莱特,CSI500
601866.SH,中远海发,CSI500
601869.SH,长飞光纤,CSI500
601880.SH,辽港股份,CSI500
601928.SH,凤凰传媒,CSI500
601958.SH,金钼股份,CSI500
601966.SH,玲珑轮胎,CSI500
601990.SH,南京证券,CSI500
601991.SH,大唐发电,CSI500
601997.SH,贵阳银行,CSI500
603000.SH,人民网,CSI500
603049.SH,中策橡胶,CSI500
603077.SH,和邦生物,CSI500
603087.SH,甘李药业,CSI500
603092.SH,德力佳,CSI500
603119.SH,浙江荣泰,CSI500
603129.SH,春风动力,CSI500
603156.SH,养元饮品,CSI500
603160.SH,汇顶科技,CSI500
603175.SH,超颖电子,CSI500
603179.SH,新泉股份,CSI500
603225.SH,新凤鸣,CSI500
603233.SH,大参林,CSI500
603256.SH,宏和科技,CSI500
603290.SH,斯达半导,CSI500
603298.SH,杭叉集团,CSI500
603308.SH,应流股份,CSI500
603338.SH,浙江鼎力,CSI500
603341.SH,龙旗科技,CSI500
603345.SH,安井食品,CSI500
603379.SH,三美股份,CSI500
603444.SH,吉比特,CSI500
603486.SH,科沃斯,CSI500
603529.SH,爱玛科技,CSI500
603565.SH,中谷物流,CSI500
603568.SH,伟明环保,CSI500
603589.SH,口子窖,CSI500
603596.SH,伯特利,CSI500
603605.SH,珀莱雅,CSI500
603606.SH,东方电缆,CSI500
603650.SH,彤程新材,CSI500
603658.SH,安图生物,CSI500
603659.SH,璞泰来,CSI500
603688.SH,石英股份,CSI500
603699.SH,纽威股份,CSI500
603728.SH,鸣志电器,CSI500
603737.SH,三棵树,CSI500
603766.SH,隆鑫通用,CSI500
603786.SH,科博达,CSI500
603806.SH,福斯特,CSI500
603816.SH,顾家家居,CSI500
603833.SH,欧派家居,CSI500
603858.SH,步长制药,CSI500
603885.SH,吉祥航空,CSI500
603899.SH,晨光股份,CSI500
603920.SH,世运电路,CSI500
603939.SH,益丰药房,CSI500
603979.SH,金诚信,CSI500
605358.SH,立昂微,CSI500
605589.SH,圣泉集团,CSI500
688002.SH,睿创微纳,CSI500
688017.SH,绿的谐波,CSI500
688018.SH,乐鑫科技,CSI500
688019.SH,安集科技,CSI500
688027.SH,国盾量子,CSI500
688037.SH,芯源微,CSI500
688052.SH,纳芯微,CSI500
688065.SH,凯赛生物,CSI500
688099.SH,晶晨股份,CSI500
688114.SH,华大智造,CSI500
688120.SH,华海清科,CSI500
688122.SH,西部超导,CSI500
688166.SH,博瑞医药,CSI500
688169.SH,石头科技,CSI500
688172.SH,燕东微,CSI500
688180.SH,君实生物,CSI500
688187.SH,时代电气,CSI500
688188.SH,柏楚电子,CSI500
688192.SH,迪哲医药,CSI500
688200.SH,华峰测控,CSI500
688213.SH,思特威,CSI500
688220.SH,翱捷科技,CSI500
688234.SH,天岳先进,CSI500
688235.SH,百济神州,CSI500
688248.SH,南网科技,CSI500
688266.SH,泽璟制药,CSI500
688278.SH,特宝生物,CSI500
688281.SH,华秦科技,CSI500
688295.SH,中复神鹰,CSI500
688297.SH,中无人机,CSI500
688301.SH,奕瑞科技,CSI500
688313.SH,仕佳光子,CSI500
688318.SH,财富趋势,CSI500
688322.SH,奥比中光,CSI500
688331.SH,荣昌生物,CSI500
688336.SH,三生国健,CSI500
688343.SH,云天励飞,CSI500
688347.SH,华虹宏力,CSI500
688349.SH,三一重能,CSI500
688361.SH,中科飞测,CSI500
688363.SH,华熙生物,CSI500
688375.SH,国博电子,CSI500
688385.SH,复旦微电,CSI500
688387.SH,信科移动,CSI500
688411.SH,海博思创,CSI500
688425.SH,铁建重工,CSI500
688469.SH,芯联集成,CSI500
688475.SH,萤石网络,CSI500
688498.SH,源杰科技,CSI500
688520.SH,神州细胞,CSI500
688538.SH,和辉光电,CSI500
688561.SH,奇安信,CSI500
688563.SH,航材股份,CSI500
688568.SH,中科星图,CSI500
688578.SH,艾力斯,CSI500
688582.SH,芯动联科,CSI500
688599.SH,天合光能,CSI500
688608.SH,恒玄科技,CSI500
688615.SH,合合信息,CSI500
688617.SH,惠泰医疗,CSI500
688629.SH,华丰科技,CSI500
688676.SH,金盘科技,CSI500
688692.SH,达梦数据,CSI500
688702.SH,盛科通信,CSI500
688708.SH,佳驰科技,CSI500
688709.SH,成都华微,CSI500
688728.SH,格科微,CSI500
688772.SH,珠海冠宇,CSI500
688777.SH,中控技术,CSI500
688778.SH,厦钨新能,CSI500
688819.SH,天能股份,CSI500
689009.SH,九号公司,CSI500
